Unnamed: 0,SbjNum,Latitude,Longitude,Q21.Income.Food.O1,Q21.Income.SchoolFees.O2,Q21.Income.MedicalBills.O3,Q21.Income.Clothes.O4,Q21.Income.Energy.O5,Q21.Income.Other.O6,Q21.Income.Other.O6.Text,Q29.Income,Q30.MainCashCrop,Q30.Other.Text,Q33.CashCropSold,Q34.CashCropUsed,Q35.CashCropSavedForSeed,Q36.CashCropLost,Q37.CauseOfLoss.O1,Q37.CauseOfLoss.O2,Q37.CauseOfLoss.O3,Q37.CauseOfLoss.O4,Q37.CauseOfLoss.Other.Text,Q38.CashCropEarnings,Q39.CashCropPx,Q40.CostOfProduction,Q41.AverageYear,Q42.ProductionHigherLower,Q63.ProductionCost,Q64.AverageYear,Q65.ProductionHigherLower,Q69.AmountEarnedCattle,Q70.NumberCattleSold,Q71.PxPerCattle,Q72.TotalEarningCattle,Q73.AmountEarnedGoats,Q74.NumberGoatsSold,Q75.PxPerGoat,Q76.TotalEarningGoats,Q77.AmountEarnedPigs,Q78.NumberPigsSold,Q79.PxPerPig,Q80.TotalEarningPigs,Q81.AmountEarnedChickens,Q82.NumberChickensSold,Q83.PxPerChicken,Q84.TotalEarningsChickens,Q85.RearOtherAnimal,Q86.OtherAnimalType,Q87.OtherAnimalPx,Q88.TotalEarningOtherAnimal,Q89.MainSourcesIncome.1st,Q89.MainSourcesIncome.2nd,Q89.MainSourcesIncome.3rd,Q89.MainSourcesIncome.4th,Q89.MainSourcesIncome.5th,Q89.MainSourcesIncome.TeaIncome,Q89.MainSourcesIncome.CoffeeIncome,Q89.MainSourcesIncome.BananaIncome,Q89.MainSourcesIncome.MaizeIncome,Q89.MainSourcesIncome.HydroponicsIncome,Q89.MainSourcesIncome.BeansIncome,Q89.MainSourcesIncome.LivestockIncome,Q89.MainSourcesIncome.BeekeepingIncome,Q89.MainSourcesIncome.TreeIncome,Q89.MainSourcesIncome.FishIncome,Q89.MainSourcesIncome.HandicraftIncome,Q89.MainSourcesIncome.KitchenGardenIncome,Q89.MainSourcesIncome.SalaryJobIncome,Q89.MainSourcesIncome.CasualLaborIncome,Q89.MainSourcesIncome.RemitIncome,Q89.MainSourcesIncome.GoatIncome,Q89.MainSourcesIncome.PigIncome,Q89.MainSourcesIncome.CattleIncome,Q89.MainSourcesIncome.ChickenIncome,Q89.MainSourcesIncome.Other,Q21.Income.Other.O6.Text.Tags
10,23969390,0.678246861,30.4604082,1,2,-2,-2,-2,-2,,5,2,,100,0,0,5,Causes_of_loss,Causes_of_loss,Causes_of_loss,Causes_of_loss,,54m,300,54m,1,4,600per kg,1,2,600000,10L everyday,,600000,,,,,,,,,,,,,-1,-1,-1,-1,1,2,7,-2,-2,1,2,,,,,3,,,,,,,,,,,,,,"['radio batteries', 'telephone']"
11,23969391,0.693958599,30.49137907,1,2,3,-2,-2,-2,,5,2,,100,0,0,5,Causes_of_loss,Causes_of_loss,Causes_of_loss,Causes_of_loss,,5.4m,300,300per kg,1,2,,2,4,,,,,,,,,,,,,,,,,-1,-1,-1,-1,1,-2,-2,-2,-2,1,,,,,,,,,,,,,,,,,,,,['farm costs']
12,23969392,0.70076046,30.48560096,1,2,3,-2,-2,-2,,5,2,,100,0,0,5,Causes_of_loss,Causes_of_loss,Causes_of_loss,Causes_of_loss,,1.8m,300,300per kg,2,5,,2,4,1.08m,,,1.08m,,,,,,,,,,,,,-1,-1,-1,-1,1,2,-2,-2,-2,1,2,,,,,,,,,,,,,,,,,,,['livestock']
13,23969393,0.720041271,30.48830973,2,3,4,-2,-2,-2,,5,2,,100,0,0,5,Causes_of_loss,Causes_of_loss,Causes_of_loss,Causes_of_loss,,720000,300,300per kg,2,4,,1,2,,,,,,,,,,,,,,,,,-1,-1,-1,-1,1,-2,-2,-2,-2,1,,,,,,,,,,,,,,,,,,,,['water']
14,23969394,0.713854698,30.4966991,2,6,-2,-2,-2,-2,improving my farm,5,2,,100,0,0,5,Causes_of_loss,Causes_of_loss,Causes_of_loss,Causes_of_loss,,1.44m,300,300sh per kg,2,4,5000,1,3,Home use,,,,,,,,,,,,,,,,-1,-1,-1,-1,1,3,-2,-2,-2,2,,1,,,,,,,,,,,,,,,,,,['farm costs']
15,23969395,0.713744217,30.49679464,1,2,4,6,-2,-2,pay workers,5,2,,100,0,0,5,Causes_of_loss,Causes_of_loss,Causes_of_loss,Causes_of_loss,,7.2m,300,300per kg,1,2,2000per kg,1,4,Home use,,,,,,,,,,,,,,,,-1,-1,-1,-1,1,2,-2,-2,-2,1,2,,,,,,,,,,,,,,,,,,,['investment']
16,23969396,0.718279955,30.51660363,2,6,-2,-2,-2,-2,house hold requirmentd,5,2,,100,0,0,5,Causes_of_loss,Causes_of_loss,Causes_of_loss,Causes_of_loss,,14.4m,300,300per kg,2,5,,1,4,Home use,Home use,,,,,,,,,,,,,,,-1,-1,-1,-1,1,-2,-2,-2,-2,1,,,,,,,,,,,,,,,,,,,,['farm costs']
17,23969397,0.70762935,30.51318542,1,2,3,4,-2,-2,,5,2,,100,0,0,5,Causes_of_loss,Causes_of_loss,Causes_of_loss,Causes_of_loss,,2.5m,300,300per kg,1,2,,1,3,,,,,,,,,,,,,,,,,-1,-1,-1,-1,1,14,-2,-2,-2,1,,,,,,,,,,,,,2,,,,,,,['farm costs']
18,23969398,0.747487009,30.53699259,1,2,6,-2,-2,-2,Invest it in trading,5,2,,100,0,0,5,Causes_of_loss,Causes_of_loss,Causes_of_loss,Causes_of_loss,,3.6m,300,300per kg,2,4,5000per banch,1,3,Home use,,,,,,,,,,,,,,,,-1,-1,-1,-1,1,3,-2,-2,-2,1,,2,,,,,,,,,,,,,,,,,,['farm costs']
19,23969399,0.747477576,30.53691723,1,2,-2,-2,-2,-2,,5,2,,100,0,0,5,Causes_of_loss,Causes_of_loss,Causes_of_loss,Causes_of_loss,,1.4m,300,300per kg,2,4,,2,3,,,,,,,,,,,,,,,,,-1,-1,-1,-1,1,-2,-2,-2,-2,1,,,,,,,,,,,,,,,,,,,,['farm costs']
20,23969400,0.749910713,30.53650013,1,2,6,-2,-2,-2,ivestments,5,2,,100,0,0,5,Causes_of_loss,Causes_of_loss,Causes_of_loss,Causes_of_loss,,7.2m,300,300 per kg,2,4,,1,3,,,,,,,,,,,,,,,,,-1,-1,-1,-1,1,4,-2,-2,-2,1,,,2,,,,,,,,,,,,,,,,,['helping others']
21,23969401,0.750066109,30.54701186,1,2,3,4,-2,-2,,5,2,,100,0,0,5,Causes_of_loss,Causes_of_loss,Causes_of_loss,Causes_of_loss,,2.5m,300,300per kg,2,5,,1,2,Home use,,,,,,,,,,,,,,,,-1,-1,-1,-1,1,-2,-2,-2,-2,1,,,,,,,,,,,,,,,,,,,,['investment']
22,23969402,0.752481017,30.54453888,1,2,3,4,5,-2,,5,2,,100,0,0,5,Causes_of_loss,Causes_of_loss,Causes_of_loss,Causes_of_loss,,1.4m,300,300per kg,2,5,,2,4,Home use,,,,,,,,,,,,,,,,-1,-1,-1,-1,1,3,6,-2,-2,1,,2,,,3,,,,,,,,,,,,,,,['wages']
23,23969403,0.751860961,30.5490877,1,2,4,-2,-2,-2,,5,2,,100,0,0,5,Causes_of_loss,Causes_of_loss,Causes_of_loss,Causes_of_loss,,1.8m,300,300 per kg,2,4,2500,1,2,,,,,,,,,,,,,,,,,-1,-1,-1,-1,1,2,3,20,-2,1,2,4,,,,,,,,,,,,,,,,,tree planting,"['children', 'family']"
24,23969405,0.766411565,30.5800314,1,2,3,-2,-2,-2,,5,2,,100,0,0,5,Causes_of_loss,Causes_of_loss,Causes_of_loss,Causes_of_loss,,6.1m,300,300per kg,2,3,5000,1,2,,,,,,,,,,,,,7000,10,70,70000,-1,-1,-1,-1,1,3,-2,-2,-2,1,,2,,,,,,,,,,,,,,,,,,['land purchase']
25,23992073,,,2,3,4,6,-2,-2,"telephone,radio batteries",5,1,,70,0,0,1,2,3,Causes_of_loss,Causes_of_loss,,"2,000,000",2500,"300,000",1,1,150000,2,5,,,,,0,0,0,0,0,"200,000","200,000",200000,15000,1,15,15000,-1,-1,-1,-1,2,3,6,9,17,,1,5,,,4,,,3,,,,,,,,2,,,,['land purchase']
26,23992074,-0.960468652,30.34496971,1,2,3,4,6,-2,looking after the farm,5,3,banana plantation for daily income but coffee is the best though the money comes in annualy,60,0,0,1,1,4,Causes_of_loss,Causes_of_loss,drought,"2,000,000",2300,"500,000",1,1,"300,000",1,1,,,,,300000,3,100000,300000,,,,,,,,,-1,-1,-1,-1,2,3,6,16,20,,1,2,,,3,,,,,,,,,,4,,,,ground nuts (5),['wages']
27,23992075,-0.960458322,30.34501118,1,2,3,4,-2,-2,,5,1,,2000,0,0,5,Causes_of_loss,Causes_of_loss,Causes_of_loss,Causes_of_loss,,"5,000,000",2500,"1,000,000",1,2,"100,000",1,2,,,,,0,0,0,0,,,,,,,,,-1,-1,-1,-1,2,3,-2,-2,-2,,1,2,,,,,,,,,,,,,,,,,,['wages']
28,23992076,-0.809396303,30.24264022,1,2,3,4,6,-2,Medicine for animals,5,1,,100,0,0,5,Causes_of_loss,Causes_of_loss,Causes_of_loss,Causes_of_loss,,"800,000",2500,"500,000",1,1,"600,000",2,4,"3,000,000",4,"950,000","3,000,000",300000,2,150000,300000,,,,,,,,,-1,-1,-1,-1,2,6,18,20,-2,,2,,,,3,,,,,,,,,,,,1,,4. Onions...5.Irish potatoes,['water']
29,23992077,-0.472698897,30.27656575,1,2,3,4,5,6,water,5,1,,100,0,0,5,Causes_of_loss,Causes_of_loss,Causes_of_loss,Causes_of_loss,,"3,000,000",2500,"2,000,000",1,1,"150,000",2,5,,,,,500000,4,120000,500000,,,,,100000,5,20,100000,-1,-1,-1,-1,2,3,6,16,19,,1,2,,,4,,,,,,,,,,3,,,5,,['livestock']
30,23992078,-0.471237133,30.27732555,1,2,3,-2,-2,-2,,5,1,,100,0,0,5,Causes_of_loss,Causes_of_loss,Causes_of_loss,Causes_of_loss,,"600,000",2500,"20,000",1,1,"40,000",1,1,,,,,100000,1,100000,100000,,,,,,,,,2,-1,-1,-1,2,3,6,16,20,,2,1,,,3,,,,,,,,,,4,,,,cassava,['livestock']
31,23992079,-0.470198189,30.27709416,1,2,3,4,5,-2,,5,1,,100,0,0,5,Causes_of_loss,Causes_of_loss,Causes_of_loss,Causes_of_loss,,"3,000,000",2300,"1,200,000",2,5,"600,000",1,1,"300,000",,,"200,000 on milk",450000,4,120000,650000,,,,,,,0,,2,-1,-1,-1,2,3,16,18,19,,1,2,,,,,,,,,,,,,4,,3,5,,['travel']
32,23992080,-0.470648871,30.27746628,1,3,4,-2,-2,-2,,3,1,,100,0,0,1,2,4,Causes_of_loss,Causes_of_loss,Drought,"250,000",2300,"200,000",1,1,"50,000",2,5,,,,,,,,,,,,,,,,,-1,-1,-1,-1,2,3,6,20,-1,,1,2,,,3,,,,,,,,,,,,,,millet,['wages']
33,23992081,-0.472859263,30.27853872,2,3,4,5,-2,-2,,5,1,,100,0,0,5,Causes_of_loss,Causes_of_loss,Causes_of_loss,Causes_of_loss,,"4,800,000",2400,"1,800,000",1,1,"500,000",1,1,,,,,450000,3,150000,450000,,,,,,,,,-1,-1,-1,-1,2,3,16,20,-1,,1,2,,,,,,,,,,,,,3,,,,Ovacado,['wages']
34,23992082,-0.47370768,30.27699067,2,3,4,-2,-2,-2,,5,1,,100,0,0,1,4,Causes_of_loss,Causes_of_loss,Causes_of_loss,Alot of drought when i had just planted,"800,000",2400,"250,000",2,5,"250,000",1,2,,,,,250000,4,80000,250000,,,,,,,,,-1,-1,-1,-1,2,3,-2,-2,-2,,1,2,,,,,,,,,,,,,,,,,,['land purchase']
35,23992083,-0.541270433,30.37340738,1,2,4,6,-2,-2,"buying manures,mulches",5,1,,90,0,0,1,2,4,Causes_of_loss,Causes_of_loss,natural hazards,"5,000,000",2300,"2,620,000",1,1,"500,000",1,2,"360,000",450 litters,,"350,000",,,,,1200000,3,"350,000",1200000,,,,,-1,-1,-1,-1,2,3,9,17,18,,1,4,,,,,,5,,,,,,,,3,2,,,['land purchase']
36,23992092,-0.552001306,30.3677578,2,3,4,5,-2,-2,,5,1,,100,0,0,5,Causes_of_loss,Causes_of_loss,Causes_of_loss,Causes_of_loss,,"600,000",2200,"60,000",2,4,"100,000",1,1,,,,,,,,,,,,,,,,,-1,-1,-1,-1,2,6,20,-2,-2,,1,,,,2,,,,,,,,,,,,,,Millet(4),['daily expenses']
37,23992093,-0.551496175,30.36730465,1,6,-2,-2,-2,-2,home basics ,4,1,,100,0,0,5,Causes_of_loss,Causes_of_loss,Causes_of_loss,Causes_of_loss,,"180,000",2200,"50,000",1,2,"60,000",1,2,0,0,0,0,,,,,,,,,,,,,2,-1,-1,-1,2,3,-2,-2,-2,,1,2,,,,,,,,,,,,,,,,,,['daily expenses']
38,23992094,-0.52285921,30.3941344,4,6,-2,-2,-2,-2,building,5,1,,100,0,0,5,Causes_of_loss,Causes_of_loss,Causes_of_loss,Causes_of_loss,,"560,000",2400,"60,000",1,5,6500,1,2,,,,,,0,0,0,,,,,,,,,-1,-1,-1,-1,2,3,6,-2,-2,,1,3,,,2,,,,,,,,,,,,,,,"['micro-enterprise', 'investment']"
39,23992095,-0.522962834,30.39377287,2,4,5,6,-2,-2,mulching,5,1,,100,0,0,5,Causes_of_loss,Causes_of_loss,Causes_of_loss,Causes_of_loss,,"1,130,000",2500,"500,000",1,1,0,2,5,,,,,,,,,,,,,,,,,-1,-1,-1,-1,2,20,-2,-2,-2,,1,,,,,,,,,,,,,,,,,,sugarcanes(2) trees (3),"['farm costs', 'investment']"
40,23992096,,,2,3,4,5,6,-2,farming,5,1,,70,0,0,5,Causes_of_loss,Causes_of_loss,Causes_of_loss,Causes_of_loss,drought,"3,000,000",2800,"1,500,000",1,1,"700,000",1,1,,0,0,0,300000,3,100000,300000,0,0,0,0,,,,,2,-1,-1,-1,2,3,6,16,18,,2,1,,,3,,,,,,,,,,4,,5,,,['savings']
41,23992097,-0.638414037,30.2234735,2,4,5,-2,-2,-2,,5,1,,100,0,0,5,Causes_of_loss,Causes_of_loss,Causes_of_loss,Causes_of_loss,,"2,500,000",2300,"500,000",1,2,3000,1,1,0,0,0,0,,,,,,,,,,,,,-1,-1,-1,-1,2,-2,-2,-2,-2,,1,,,,,,,,,,,,,,,,,,,['food']
42,23992098,-0.638505748,30.22350035,2,3,4,-2,-2,-2,,5,1,,100,0,0,1,3,Causes_of_loss,Causes_of_loss,Causes_of_loss,,"2,000,000",2500,"1,000,000",2,5,"200,000",2,5,0,0,0,0,,,,,,,,,,,,,-1,-1,-1,-1,2,3,20,-2,-2,,1,2,,,,,,,,,,,,,,,,,milk and ovacadoes,['food']
43,23992099,-0.635590917,30.22334059,3,4,5,-2,-2,-2,,5,1,,100,0,0,5,Causes_of_loss,Causes_of_loss,Causes_of_loss,Causes_of_loss,,"1,000,000",2500,"1,000,000",1,1,"100,000",1,2,"800,000",1,"800,000","800,000",,,,,,,,,,,,,-1,-1,-1,-1,2,18,-2,-2,-2,,1,,,,,,,,,,,,,,,,2,,,['investment']
44,23992100,-0.649386514,30.19392388,1,2,3,4,5,-2,,5,1,,80,0,0,5,Causes_of_loss,Causes_of_loss,Causes_of_loss,Causes_of_loss,,"500,000",2300,0,1,2,0,2,4,,,,,,,,,,,,,,,,,-1,-1,-1,-1,2,3,6,16,-2,,1,2,,,3,,,,,,,,,,4,,,,,['daily expenses']
45,23992101,-0.649566359,30.19391019,2,3,4,5,-2,-2,,5,1,,100,0,0,2,2,3,Causes_of_loss,Causes_of_loss,,"350,000",2300,0,1,1,0,1,1,,,,,,,,,,,,,,,,,-1,-1,-1,-1,2,6,-2,-2,-2,,1,,,,2,,,,,,,,,,,,,,,['farm costs']
46,23992102,-0.649919412,30.19414109,1,2,3,4,5,-2,,5,1,,100,0,0,5,Causes_of_loss,Causes_of_loss,Causes_of_loss,Causes_of_loss,,"2,500,000",2200,"200,000",2,5,"800,000",1,2,"1,400,000",1,"1,400,000","1,400,000",600000,4,150000,600000,120000,3,"30,000",120000,,,,,-1,-1,-1,-1,2,3,16,18,-2,,1,2,,,,,,,,,,,,,4,,3,,,['wages']
47,23992105,-0.595637887,30.10934491,1,2,3,-2,-2,-2,,5,1,,100,0,0,4,2,3,Causes_of_loss,Causes_of_loss,,"340,000",2600,"200,000",1,2,"50,000",1,2,,,,,,,,,,,,,,,,,-1,-1,-1,-1,2,-2,-2,-2,-2,,1,,,,,,,,,,,,,,,,,,,['farm costs']
48,23992106,-0.598555544,30.10954074,1,2,4,6,-2,-2,Farming,5,1,,100,0,0,5,Causes_of_loss,Causes_of_loss,Causes_of_loss,Causes_of_loss,,"650,000",2500,"150,000",1,1,"200,000",2,5,,,,,400000,5,100000,400000,300000,2,"150,000",300000,,,,,-1,-1,-1,-1,2,3,-2,-2,-2,,1,2,,,,,,,,,,,,,,,,,,['wages']
49,23992107,-0.598634831,30.10961519,1,2,3,4,5,-2,,5,1,,100,0,0,5,Causes_of_loss,Causes_of_loss,Causes_of_loss,Causes_of_loss,,"1,200,000",2500,"400,000",1,1,"100,000",1,1,,,,,0,0,0,0,,,,,,,,,-1,-1,-1,-1,2,3,-2,-2,-2,,1,2,,,,,,,,,,,,,,,,,,['farm costs']
50,23992108,-0.607597416,30.11751064,1,2,3,4,6,-2,Farming,5,1,,100,0,0,5,Causes_of_loss,Causes_of_loss,Causes_of_loss,Causes_of_loss,,"950,000",2500,"750,000",1,1,"300,000",1,1,,,,,,,,,,,,,,,,,-1,-1,-1,-1,2,3,20,-2,-2,,1,2,,,,,,,,,,,,,,,,,sugarcanes,['daily expenses']
51,23992109,-0.608223528,30.11902266,1,2,3,4,-2,-2,,5,1,,100,0,0,5,Causes_of_loss,Causes_of_loss,Causes_of_loss,Causes_of_loss,,"1,300,000",2500,"10,000,000",1,4,"800,000",1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2,-1,-1,-1,2,3,-2,-2,-2,,2,1,,,,,,,,,,,,,,,,,,['travel']
52,23992110,-0.60852952,30.1197487,1,2,3,4,6,-2,Helping others who need help.,5,1,,100,0,0,5,Causes_of_loss,Causes_of_loss,Causes_of_loss,Causes_of_loss,,"2,000,000",2500,"400,000",1,1,"400,000",1,1,0,0,0,"500,000",,,,,,,,,,,,,-1,-1,-1,-1,2,18,-2,-2,-2,,1,,,,,,,,,,,,,,,,2,,,['travel']
53,23992111,-0.620344824,30.05580428,1,2,5,-2,-2,-2,,5,1,,100,0,0,5,Causes_of_loss,Causes_of_loss,Causes_of_loss,Causes_of_loss,,"1,500,000",2500,"400,000",1,1,"150,000",1,2,,,,,,,,,,,,,,,,,-1,-1,-1,-1,2,3,-2,-2,-2,,1,2,,,,,,,,,,,,,,,,,,"['wages', 'investment']"
54,23992112,-0.626683059,30.05584091,1,2,3,4,5,-2,,5,1,,100,0,0,3,2,3,Causes_of_loss,Causes_of_loss,,25000,2300,"10,000",2,5,"200,000",1,1,,,,,,,,,,,,,,,,,-1,-1,-1,-1,2,3,-2,-2,-2,,2,1,,,,,,,,,,,,,,,,,,"['loans', 'investment']"
55,23992113,-0.632161648,30.04812127,1,2,3,4,5,-2,,5,1,,100,0,0,1,1,Causes_of_loss,Causes_of_loss,Causes_of_loss,,"600,000",2400,"300,000",2,5,,,,"2,000,000",3,"700,000","2,000,000",0,0,0,0,,,,,200000,10,20,200000,-1,-1,-1,-1,2,3,-2,-2,-2,,1,2,,,,,,,,,,,,,,,,,,['family']
56,23992114,-0.628821836,30.04392952,2,3,4,-2,-2,-2,,5,1,,400,0,0,5,Causes_of_loss,Causes_of_loss,Causes_of_loss,Causes_of_loss,,"9,402,000",2100,"300,000",1,2,"150,000",1,1,,,,,,,,,,,,,,,,,-1,-1,-1,-1,2,3,-2,-2,-2,,1,2,,,,,,,,,,,,,,,,,,['daily expenses']
57,23992115,-0.630419565,30.04281867,1,2,3,4,5,-2,,5,1,,100,0,0,1,1,2,Causes_of_loss,Causes_of_loss,,"300,000",2500,"200,000",1,2,0,2,5,,,,,,,,,,,,,,,,,-1,-1,-1,-1,2,3,-2,-2,-2,,1,2,,,,,,,,,,,,,,,,,,['daily expenses']
58,23992117,-0.630495941,30.04299704,1,3,6,-2,-2,-2,My shop,5,1,,100,0,0,3,2,3,Causes_of_loss,Causes_of_loss,,"150,000",2400,"200,000",1,1,"100,000",1,2,,,,,,,,,,,,,,,,,-1,-1,-1,-1,2,3,-2,-2,-2,,1,2,,,,,,,,,,,,,,,,,,['group contributions']
59,23992118,-0.515164558,30.25951799,1,2,3,4,-2,-2,,5,1,,100,0,0,5,Causes_of_loss,Causes_of_loss,Causes_of_loss,Causes_of_loss,,"1,540,000",2200,"120,000",2,4,"150,000",2,4,,,,,300000,2,150000,300000,,,,,,,,,-1,-1,-1,-1,2,3,16,-2,-2,,1,2,,,,,,,,,,,,,3,,,,,"['daily expenses', 'livestock']"
60,23992119,-0.523725568,30.26034565,1,2,3,4,5,-2,,5,1,,100,0,0,5,Causes_of_loss,Causes_of_loss,Causes_of_loss,Causes_of_loss,,"250,000",2500,"200,000",1,2,"160,000",1,2,0,0,0,0,,,,,,,,,,,,,-1,-1,-1,-1,2,3,18,-2,-2,,1,2,,,,,,,,,,,,,,,3,,,"['micro-enterprise', 'daily expenses', 'investment']"
61,23992120,-0.523497208,30.25969771,1,2,3,4,5,-2,,5,1,,100,0,0,5,Causes_of_loss,Causes_of_loss,Causes_of_loss,Causes_of_loss,,"500,000",2500,0,2,2,"200,000",1,2,0,0,0,0,200000,2,100000,200000,,,,,,,,,-1,-1,-1,-1,2,3,16,-2,-2,,1,2,,,,,,,,,,,,,3,,,,,['daily expenses']
